Datetime,Temperature_Comedor_Sensor,Temperature_Habitacion_Sensor
2012-03-13 11:45:00,18.1875,17.8275
2012-03-13 12:00:00,18.4633,18.1207
2012-03-13 12:15:00,18.7673,18.4367
2012-03-13 12:30:00,19.0727,18.7513
2012-03-13 12:45:00,19.3721,19.0414
2012-03-13 13:00:00,19.6407,19.2773
2012-03-13 13:15:00,19.912,19.5367
2012-03-13 13:30:00,20.164,19.7307
2012-03-13 13:45:00,20.412,19.9693
2012-03-13 14:00:00,20.64,20.1407
2012-03-13 14:15:00,20.8453,20.3267
2012-03-13 14:30:00,21.0333,20.4713
2012-03-13 14:45:00,21.2333,20.9093
2012-03-13 15:00:00,21.4293,21.4253
2012-03-13 15:15:00,21.488,21.8467
2012-03-13 15:30:00,21.524,22.1573
2012-03-13 15:45:00,21.584,22.404
2012-03-13 16:00:00,21.612,22.7307
2012-03-13 16:15:00,21.664,22.9373
2012-03-13 16:30:00,21.6853,23.2
2012-03-13 16:45:00,21.788,23.436
2012-03-13 17:00:00,21.832,23.668
2012-03-13 17:15:00,21.808,23.852
2012-03-13 17:30:00,21.768,24.0213
2012-03-13 17:45:00,21.7133,24.1413
2012-03-13 18:00:00,21.66,24.268
2012-03-13 18:15:00,21.596,24.38
2012-03-13 18:30:00,21.5307,24.0707
2012-03-13 18:45:00,21.4493,23.588
2012-03-13 19:00:00,21.3747,23.2867
2012-03-13 19:15:00,21.276,23.032
2012-03-13 19:30:00,21.1987,22.7747
2012-03-13 19:45:00,21.0933,22.5533
2012-03-13 20:00:00,21.0,22.352
2012-03-13 20:15:00,20.9053,22.1227
2012-03-13 20:30:00,20.816,21.9347
2012-03-13 20:45:00,20.72,21.7133
2012-03-13 21:00:00,20.628,21.5373
2012-03-13 21:15:00,20.5253,21.348
2012-03-13 21:30:00,20.43,21.148
2012-03-13 21:45:00,20.3147,20.9813
2012-03-13 22:00:00,20.2133,20.8107
2012-03-13 22:15:00,20.114,20.66
2012-03-13 22:30:00,20.0053,20.4753
2012-03-13 22:45:00,19.9007,20.3147
2012-03-13 23:00:00,19.7953,20.164
2012-03-13 23:15:00,19.6773,19.9967
2012-03-13 23:30:00,19.5727,19.846
2012-03-13 23:45:00,19.442,19.6773
2012-03-14 00:00:00,19.3327,19.526
2012-03-14 00:15:00,19.238,19.3733
2012-03-14 00:30:00,19.0933,19.2087
2012-03-14 00:45:00,18.962,19.0527
2012-03-14 01:00:00,18.8533,18.8973
2012-03-14 01:15:00,18.7267,18.734
2012-03-14 01:30:00,18.6073,18.5833
2012-03-14 01:45:00,18.5007,18.4167
2012-03-14 02:00:00,18.36,18.2727
2012-03-14 02:15:00,18.2387,18.0973
2012-03-14 02:30:00,18.09,17.9533
2012-03-14 02:45:00,17.9553,17.8173
2012-03-14 03:00:00,17.8333,17.654
2012-03-14 03:15:00,17.7047,17.5153
2012-03-14 03:30:00,17.5733,17.3267
2012-03-14 03:45:00,17.4713,17.1553
2012-03-14 04:00:00,17.3667,17.0253
2012-03-14 04:15:00,17.268,16.894
2012-03-14 04:30:00,17.126,16.7433
2012-03-14 04:45:00,16.9933,16.608
2012-03-14 05:00:00,16.904,16.4307
2012-03-14 05:15:00,16.83,16.2933
2012-03-14 05:30:00,16.7333,16.174
2012-03-14 05:45:00,16.61,16.036
2012-03-14 06:00:00,16.504,15.9227
2012-03-14 06:15:00,16.3927,15.8607
2012-03-14 06:30:00,16.282,15.74
2012-03-14 06:45:00,16.178,15.6427
2012-03-14 07:00:00,16.1087,15.5307
2012-03-14 07:15:00,16.0233,15.4753
2012-03-14 07:30:00,15.99,15.3773
2012-03-14 07:45:00,15.96,15.6793
2012-03-14 08:00:00,15.97,16.2273
2012-03-14 08:15:00,15.9967,16.6473
2012-03-14 08:30:00,16.038,17.0253
